,,TDP
58,E1-A-I-A,77.04
60,E1-A-I-C,80.63
61,E1-A-I-D,84.18
62,E1-A-I-E,60.45
63,E1-A-I-F,98.56
64,E1-A-II-A,126.17
65,E1-A-II-B,178.32
66,E1-A-II-C,188.14
67,E1-A-II-D,233.69
68,E1-A-II-E,206.80
70,E1-A-III-A,172.67
71,E1-A-III-B,245.73
72,E1-A-III-C,155.76
73,E1-A-III-D,134.99
74,E1-A-III-E,155.69
77,A-IV-B,87.51
78,A-IV-C,77.68
79,A-IV-D,80.98
80,A-IV-E,102.59
81,A-IV-F,79.55
1 25.03.2009 - E1 1st harvest ,E1-K-I-A,68.32
2,E1-K-I-B,50.74
3,E1-K-I-C,65.61
4,E1-K-I-D,73.69
5,E1-K-I-E,104.47
7 16.06.2009 - E1 2nd Harvest,E1-K-II-A,58.23
8,E1-K-II-B,50.02
9,E1-K-II-C,106.73
10,E1-K-II-D,88.72
11,E1-K-II-E,56.24
13 08.09.2009 - E1 3rd Harvest,E1-K-III-A,151.75
14,E1-K-III-B,169.62
15,E1-K-III-C,154.55
16,E1-K-III-D,139.23
17,E1-K-III-E,194.32
49 4th harv 29.06.2010,K-IV-B,48.30
50,K-IV-C,61.64
51,K-IV-D,65.05
52,K-IV-E,47.90
53,K-IV-F,61.27
86,E1-O-I-A,302.09
87,E1-O-I-B,245.85
88,E1-O-I-C,246.32
89,E1-O-I-D,231.13
90,E1-O-I-E,274.12
92,E1-O-II-A,194.49
93,E1-O-II-B,212.70
94,E1-O-II-C,200.78
95,E1-O-II-D,201.99
96,E1-O-II-E,203.61
98,E1-O-III-A,229.26
99,E1-O-III-B,205.85
100,E1-O-III-C,215.48
101,E1-O-III-D,229.73
102,E1-O-III-E,215.20
134,O-IV-B,197.66
135,O-IV-C,194.96
136,O-IV-D,193.67
137,O-IV-E,163.61
138,O-IV-F,196.98
143,E1-S-I-A,378.04
144,E1-S-I-B,372.83
145,E1-S-I-C,352.44
146,E1-S-I-D,327.75
147,E1-S-I-E,229.95
148,E1-S-II-A,242.15
149,E1-S-II-B,235.07
150,E1-S-II-C,282.11
151,E1-S-II-D,319.46
152,E1-S-II-E,265.03
154,E1-S-III-A,255.67
155,E1-S-III-B,262.00
156,E1-S-III-C,230.71
157,E1-S-III-D,233.23
158,E1-S-III-E,271.86
191,S-IV-B,382.24
192,S-IV-C,371.99
193,S-IV-D,442.23
194,S-IV-E,436.22
195,S-IV-F,439.93
