,type,days,mesocosm,Dothideomycetes,Eurotiomycetes,Leotiomycetes,Saccharomycetes,Sordariomycetes,Agaricomycetes,Tremellomycetes,Ustilaginomycetes,Thermotogae,Proteobacteria,Bacteroidetes,Actinobacteria,Cyanobacteria,Firmicutes,Fusobacteria,Verrucomicrobia,Dictyoglomi,Alpha,Beta,Gamma,Delta,Epsilon
KL1,KL,14,1,10.07,23.07,16.72,6.18,43.07,0,0.36,0.52,0.00,68.41,0.00,7.25,15.36,4.31,0.00,4.68,0.00,64.22,0.00,35.78,0.00,0.00
AK1,AK,14,58,11.52,17.53,13.86,8.98,46.34,0.96,0.81,0,10.03,82.78,0.00,2.05,0.00,0.00,5.14,0.00,0.00,17.03,0.00,82.97,0.00,0.00
OS1,OS,14,86,11.6,23.53,11.29,4.06,45.73,2.01,0.79,0.99,5.59,73.40,0.00,18.09,1.40,0.00,0.00,0.00,1.52,35.55,17.31,47.14,0.00,0.00
SW1,SW,14,144,13.4,21.63,4.94,2.39,54.93,1.19,0.42,1.1,4.72,73.33,0.00,0.00,17.93,4.02,0.00,0.00,0.00,10.79,24.41,42.26,22.54,0.00
KL2,KL,97,7,9.48,35.22,5.3,3.07,44.66,1.43,0.85,0,7.58,73.97,0.88,7.01,9.59,0.97,0.00,0.00,0.00,18.75,10.98,70.27,0.00,0.00
AK2,AK,97,64,6.25,36.08,6.5,6.98,43.04,1.15,0,0,4.02,86.87,2.43,0.00,3.82,2.86,0.00,0.00,0.00,9.58,8.08,82.34,0.00,0.00
OS2,OS,97,92,14.34,28.15,5.55,4.21,44.36,2.47,0.93,0,5.98,67.25,0.00,0.00,22.68,4.09,0.00,0.00,0.00,13.50,3.52,79.81,3.18,0.00
SW2,SW,97,148,13.54,34.75,6.72,3.39,39.65,0.86,0.77,0.32,5.43,86.55,0.00,5.13,0.00,2.89,0.00,0.00,0.00,6.12,22.05,71.83,0.00,0.00
KL3,KL,181,13,10.15,34.67,10.94,2.62,40.14,0.56,0.92,0,1.29,89.93,1.25,7.53,0.00,0.00,0.00,0.00,0.00,16.03,7.77,73.73,2.47,0.00
AK3,AK,181,70,9.96,33.93,8.68,4.59,39.77,1.74,1.32,0,2.73,90.87,0.00,5.10,1.30,0.00,0.00,0.00,0.00,12.06,3.83,80.64,3.46,0.00
OS3,OS,181,98,7.44,32.89,7.26,3.36,46.74,0,0,0,1.63,83.26,2.05,7.54,3.56,0.00,0.00,0.00,0.00,18.27,2.97,65.33,13.43,0.00
SW3,SW,181,154,11.57,43.36,4.12,1.08,37.73,0.42,0.27,0,1.75,91.99,0.00,2.50,0.00,3.07,0.00,0.00,0.00,13.20,16.35,65.26,0.00,5.18
KL4,KL,475,49,13.38,23.96,21.86,1.36,35.8,0.71,2.93,0,2.01,69.85,1.39,22.80,2.05,1.28,0.00,0.00,0.00,44.89,21.49,29.91,3.70,0.00
AK4,AK,475,77,9.47,21.98,18.4,2.3,37.06,4.57,2.78,1.62,1.81,70.44,7.57,16.47,0.00,1.53,1.65,0.54,0.00,26.64,20.08,50.56,2.71,0.00
OS4,OS,475,134,9.53,25.99,16.49,1.48,43.74,1.26,1.14,0.38,1.59,52.30,3.57,36.44,1.73,3.28,0.57,0.00,0.00,48.85,24.28,23.15,3.72,0.00
SW4,SW,475,191,17.77,26.37,20.58,0.8,30.41,1.13,2.73,0,0.00,73.57,14.63,10.26,1.53,0.00,0.00,0.00,0.00,39.42,23.30,29.62,7.66,0.00
