type,days,P_lit,P_mic,TDP,P_mic_TDP
AK,14,390,68.45,77.04,145.49
AK,14,400,82.32,80.63,162.95
AK,14,380,84.06,84.18,168.24
AK,14,410,69.92,60.45,130.37
AK,14,410,52.28,98.56,150.84
KL,14,350,97.29,68.32,165.61
KL,14,320,98.11,50.74,148.85
KL,14,310,76.44,65.61,142.05
KL,14,300,95.68,73.69,169.37
KL,14,320,29.35,104.47,133.82
OS,14,520,111.75,302.09,413.84
OS,14,550,103.72,245.85,349.57
OS,14,540,109.08,246.32,355.4
OS,14,520,115.57,231.13,346.7
OS,14,530,81.74,274.12,355.86
SW,14,730,108.12,378.04,486.16
SW,14,700,108.83,372.83,481.66
SW,14,700,155.42,352.44,507.86
SW,14,710,106.09,327.75,433.84
SW,14,670,235.95,229.95,465.9
AK,181,380,333.82,172.67,506.49
AK,181,390,282.54,245.73,528.27
AK,181,760,353.28,155.76,509.04
AK,181,390,385.96,134.99,520.95
AK,181,390,326.33,155.69,482.02
KL,181,290,119.17,151.75,270.92
KL,181,280,88.43,169.62,258.05
KL,181,280,115.53,154.55,270.08
KL,181,290,142.79,139.23,282.02
KL,181,300,83.62,194.32,277.94
OS,181,530,166.61,229.26,395.87
OS,181,530,170.55,205.85,376.4
OS,181,560,139.8,215.48,355.28
OS,181,500,150.52,229.73,380.25
OS,181,480,150.27,215.2,365.47
SW,181,690,257.17,255.67,512.84
SW,181,740,236.93,262,498.93
SW,181,650,237.76,230.71,468.47
SW,181,700,263.8,233.23,497.03
SW,181,680,195.21,271.86,467.07
