Pmic,TDP
68.45,77.04
82.32,80.63
84.06,84.18
69.92,60.45
52.28,98.56
227.87,126.17
204.81,178.32
276.87,188.14
257.55,233.69
256.73,206.80
333.82,172.67
282.54,245.73
353.28,155.76
385.96,134.99
326.33,155.69
127.16,87.51
97.99,77.68
90.52,80.98
122.04,102.59
94.62,79.55
97.29,68.32
98.11,50.74
76.44,65.61
95.68,73.69
29.35,104.47
120.20,58.23
110.50,50.02
122.99,106.73
118.19,88.72
72.45,56.24
119.17,151.75
88.43,169.62
115.53,154.55
142.79,139.23
83.62,194.32
139.91,48.30
131.67,61.64
130.24,65.05
122.87,47.90
98.02,61.27
111.75,302.09
103.72,245.85
109.08,246.32
115.57,231.13
81.74,274.12
114.22,194.49
151.16,212.70
176.73,200.78
138.19,201.99
147.23,203.61
166.61,229.26
170.55,205.85
139.80,215.48
150.52,229.73
150.27,215.20
113.82,197.66
156.58,194.96
122.01,193.67
169.38,163.61
96.73,196.98
108.12,378.04
108.83,372.83
155.42,352.44
106.09,327.75
235.95,229.95
152.92,242.15
167.75,235.07
147.48,282.11
115.31,319.46
136.54,265.03
257.17,255.67
236.93,262.00
237.76,230.71
263.80,233.23
195.21,271.86
255.89,382.24
409.35,371.99
351.55,442.23
411.05,436.22
367.62,439.93
